AGI	Wageningen Airstrip	Wageningen, Suriname	https://en.wikipedia.org/wiki/Wageningen_Airstrip
AGJ	Aguni Airport	Aguni, Okinawa, Japan	https://en.wikipedia.org/wiki/Aguni_Airport
AGK	Kagua Airport	Kagua, Papua New Guinea	https://en.wikipedia.org/w/index.php?title=Kagua_Airport&action=edit&redlink=1
AGL	Wanigela Airport	Wanigela, Papua New Guinea	https://en.wikipedia.org/wiki/Wanigela_Airport
AGN	Angoon Seaplane Base	Angoon, Alaska, United States	https://en.wikipedia.org/wiki/Angoon_Seaplane_Base
AGO	Magnolia Municipal Airport	Magnolia, Arkansas, United States	https://en.wikipedia.org/wiki/Magnolia_Municipal_Airport
AGP	Málaga Airport	Málaga, Andalusia, Spain	https://en.wikipedia.org/wiki/M%C3%A1laga_Airport
AGQ	Agrinion Airport	Agrinion, Greece	https://en.wikipedia.org/wiki/Agrinion_Airport
AGR	Agra Airport	Agra, Uttar Pradesh, India	https://en.wikipedia.org/wiki/Agra_Airport
AGS	Augusta Regional Airport at Bush Field	Augusta, Georgia, United States	https://en.wikipedia.org/wiki/Augusta_Regional_Airport
AGT	Guaraní International Airport	Ciudad del Este, Paraguay	https://en.wikipedia.org/wiki/Guaran%C3%AD_International_Airport
AGU	Lic. Jesús Terán Peredo International Airport	Aguascalientes, Aguascalientes, Mexico	https://en.wikipedia.org/wiki/Lic._Jes%C3%BAs_Ter%C3%A1n_Peredo_International_Airport
AGV	Oswaldo Guevara Mujica Airport	Acarigua, Venezuela	https://en.wikipedia.org/wiki/Oswaldo_Guevara_Mujica_Airport
AGW	Agnew Airport	Agnew, Queensland, Australia	https://en.wikipedia.org/wiki/Agnew_Airport
AGX	Agatti Aerodrome	Agatti Island, Lakshadweep, India	https://en.wikipedia.org/wiki/Agatti_Aerodrome
AGZ	Aggeneys Airport	Aggeneys, South Africa	https://en.wikipedia.org/wiki/Aggeneys_Airport
AHB	Abha Regional Airport	Abha, Saudi Arabia	https://en.wikipedia.org/wiki/Abha_Regional_Airport
AHC	Amedee Army Airfield	Herlong, California, United States	https://en.wikipedia.org/wiki/Amedee_Army_Airfield
AHD	Ardmore Downtown Executive Airport (FAA: 1F0)	Ardmore, Oklahoma, United States	https://en.wikipedia.org/wiki/Ardmore_Downtown_Executive_Airport
AHE	Ahe Airport	Ahe, Tuamotus, French Polynesia	https://en.wikipedia.org/wiki/Ahe_Airport
AHF	Arapahoe Municipal Airport (FAA: 37V)	Arapahoe, Nebraska, United States	https://en.wikipedia.org/wiki/Arapahoe_Municipal_Airport
AHH	Amery Municipal Airport	Amery, Wisconsin, United States	https://en.wikipedia.org/wiki/Amery_Municipal_Airport
AHI	Amahai Airport	Amahai, Indonesia	https://en.wikipedia.org/wiki/Amahai_Airport
AHJ	Hongyuan Airport	Hongyuan, Sichuan, China	https://en.wikipedia.org/wiki/Hongyuan_Airport
AHL	Aishalton Airport	Aishalton, Guyana	https://en.wikipedia.org/wiki/Aishalton_Airport
AHM	Ashland Municipal Airport (FAA: S03)	Ashland, Oregon, United States	https://en.wikipedia.org/wiki/Ashland_Municipal_Airport
AHN	Athens Ben Epps Airport	Athens, Georgia, United States	https://en.wikipedia.org/wiki/Athens_Ben_Epps_Airport
AHO	Alghero-Fertilia Airport	Alghero, Sardinia, Italy	https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport
AHS	Ahuas Airport	Ahuas, Honduras	https://en.wikipedia.org/wiki/Ahuas_Airport
AHU	Cherif Al Idrissi Airport	Al Hoceima, Morocco	https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport
AHW	Saih Rawl Airport	Saih Rawl, Oman	https://en.wikipedia.org/w/index.php?title=Saih_Rawl_Airport&action=edit&redlink=1
AHY	Ambatolahy Airport	Ambatolahy, Madagascar	https://en.wikipedia.org/w/index.php?title=Ambatolahy_Airport&action=edit&redlink=1
AHZ	Alpe d'Huez Airport	Alpe d'Huez, Rhône-Alpes, France	https://en.wikipedia.org/wiki/Alpe_d%27Huez_Airport
AIA	Alliance Municipal Airport	Alliance, Nebraska, United States	https://en.wikipedia.org/wiki/Alliance_Municipal_Airport
AIC	Ailinglaplap Airok Airport	Airok, Ailinglaplap Atoll, Marshall Islands	https://en.wikipedia.org/wiki/Ailinglaplap_Airok_Airport
AID	Anderson Municipal Airport (Darlington Field)	Anderson, Indiana, United States	https://en.wikipedia.org/wiki/Anderson_Municipal_Airport
AIE	Aiome Airport	Aiome, Papua New Guinea	https://en.wikipedia.org/wiki/Aiome_Airport
AIF	Assis Airport (former ICAO: SBAS)	Assis, São Paulo, Brazil	https://en.wikipedia.org/wiki/Assis_Airport
AIG	Yalinga Airport	Yalinga, Central African Republic	https://en.wikipedia.org/wiki/Yalinga_Airport
AIH	Aiambak Airport	Aiambak, Papua New Guinea	https://en.wikipedia.org/wiki/Aiambak_Airport
AII	Ali-Sabieh Airport	Ali Sabieh, Djibouti	https://en.wikipedia.org/wiki/Ali-Sabieh_Airport
AIK	Aiken Municipal Airport	Aiken, South Carolina, United States	https://en.wikipedia.org/wiki/Aiken_Municipal_Airport
AIL	Ailigandí Airport	Ailigandí, Panama	https://en.wikipedia.org/wiki/Ailigand%C3%AD_Airport
AIM	Ailuk Airport	Ailuk Atoll, Marshall Islands	https://en.wikipedia.org/wiki/Ailuk_Airport
AIN	Wainwright Airport (FAA: AWI)	Wainwright, Alaska, United States	https://en.wikipedia.org/wiki/Wainwright_Airport_(Alaska)
AIO	Atlantic Municipal Airport	Atlantic, Iowa, United States	https://en.wikipedia.org/wiki/Atlantic_Municipal_Airport
AIP	Adampur Airport	Jalandhar, Punjab, India	https://en.wikipedia.org/wiki/Adampur_Airport
AIR	Aripuanã Airport	Aripuanã, Mato Grosso, Brazil	https://en.wikipedia.org/wiki/Aripuan%C3%A3_Airport
AIS	Arorae Island Airport	Arorae Island, Kiribati	https://en.wikipedia.org/wiki/Arorae_Island_Airport
AIT	Aitutaki Airport	Aitutaki, Cook Islands	https://en.wikipedia.org/wiki/Aitutaki_Airport
AIU	Enua Airport	Atiu Island, Cook Islands	https://en.wikipedia.org/wiki/Enua_Airport
AIV	George Downer Airport	Aliceville, Alabama, United States	https://en.wikipedia.org/wiki/George_Downer_Airport
AIW	Ai-Ais Airport	Ai-Ais, Namibia	https://en.wikipedia.org/w/index.php?title=Ai-Ais_Airport&action=edit&redlink=1
AIY	Araçuai Airport	Araçuai, Minas Gerais, Brazil	https://en.wikipedia.org/w/index.php?title=Ara%C3%A7uai_Airport&action=edit&redlink=1
AIZ	Lee C. Fine Memorial Airport	Lake Ozark, Missouri, United States	https://en.wikipedia.org/wiki/Lee_C._Fine_Memorial_Airport
AJA	Ajaccio Napoleon Bonaparte Airport	Ajaccio, Corsica, France	https://en.wikipedia.org/wiki/Ajaccio_Napoleon_Bonaparte_Airport
AJF	Al-Jawf Domestic Airport	Sakakah, Al Jawf, Saudi Arabia	https://en.wikipedia.org/wiki/Al-Jawf_Domestic_Airport
AJI	Ağrı Airport	Ağrı, Turkey	https://en.wikipedia.org/wiki/A%C4%9Fr%C4%B1_Airport
AJJ	Akjoujt Airport	Akjoujt, Mauritania	https://en.wikipedia.org/wiki/Akjoujt_Airport
AJK	Arak Airport	Arak, Iran	https://en.wikipedia.org/wiki/Arak_Airport
AJL	Lengpui Airport	Aizawl, Mizoram, India	https://en.wikipedia.org#cite_note-2
AJN	Ouani Airport	Anjouan, Comoros	https://en.wikipedia.org/wiki/Ouani_Airport
AJR	Arvidsjaur Airport	Arvidsjaur, Sweden	https://en.wikipedia.org/wiki/Arvidsjaur_Airport
AJS	Punta Abreojos Airstrip	Punta Abreojos, Baja California Sur, Mexico	https://en.wikipedia.org/wiki/Punta_Abreojos_Airstrip
AJU	Santa Maria Airport	Aracaju, Sergipe, Brazil	https://en.wikipedia.org/wiki/Santa_Maria_Airport_(Sergipe)
AJY	Mano Dayak International Airport	Agadez, Niger	https://en.wikipedia.org/wiki/Mano_Dayak_International_Airport
AKA	Ankang Wulipu Airport	Ankang, Shaanxi, China	https://en.wikipedia.org/wiki/Ankang_Wulipu_Airport
AKB	Atka Airport (FAA: AKA)	Atka, Alaska, United States	https://en.wikipedia.org/wiki/Atka_Airport
AKC	Akron Fulton International Airport (FAA: AKR)	Akron, Ohio, United States	https://en.wikipedia.org/wiki/Akron_Fulton_International_Airport
AKD	Akola Airport	Akola, Maharashtra, India	https://en.wikipedia.org/wiki/Akola_Airport
AKE	Akieni Airport	Akiéni, Gabon	https://en.wikipedia.org/wiki/Akieni_Airport
AKF	Kufra Airport	Kufra, Libya	https://en.wikipedia.org/wiki/Kufra_Airport
AKG	Anguganak Airport	Anguganak, Papua New Guinea	https://en.wikipedia.org/wiki/Papua_New_Guinea
AKH	Prince Sultan Air Base	Al-Kharj, Saudi Arabia	https://en.wikipedia.org/wiki/Prince_Sultan_Air_Base
AKI	Akiak Airport	Akiak, Alaska, United States	https://en.wikipedia.org/wiki/Akiak_Airport
AKJ	Asahikawa Airport	Asahikawa, Hokkaido, Japan	https://en.wikipedia.org/wiki/Asahikawa_Airport
AKK	Akhiok Airport	Akhiok, Alaska, United States	https://en.wikipedia.org/wiki/Akhiok_Airport
AKL	Auckland Airport	Auckland, New Zealand	https://en.wikipedia.org/wiki/Auckland_Airport
AKM	Zakouma Airport	Zakouma National Park, Chad	https://en.wikipedia.org/wiki/Zakouma_Airport
AKN	King Salmon Airport	King Salmon, Alaska, United States	https://en.wikipedia.org/wiki/King_Salmon_Airport
AKO	Colorado Plains Regional Airport	Akron, Colorado, United States	https://en.wikipedia.org/wiki/Colorado_Plains_Regional_Airport
AKP	Anaktuvuk Pass Airport	Anaktuvuk Pass, Alaska, United States	https://en.wikipedia.org/wiki/Anaktuvuk_Pass_Airport
AKQ	Gunung Batin Airport	Astraksetra, Indonesia	https://en.wikipedia.org/wiki/Gunung_Batin_Airport
AKR	Akure Airport	Akure, Nigeria	https://en.wikipedia.org/wiki/Akure_Airport
AKS	Auki Gwaunaru'u Airport	Auki, Malaita, Solomon Islands	https://en.wikipedia.org/wiki/Auki_Gwaunaru%27u_Airport
AKT	RAF Akrotiri	Akrotiri, United Kingdom	https://en.wikipedia.org/wiki/RAF_Akrotiri
AKU	Aksu Airport	Aksu, Xinjiang, China	https://en.wikipedia.org/wiki/Aksu_Airport
AKV	Akulivik Airport	Akulivik, Quebec, Canada	https://en.wikipedia.org/wiki/Akulivik_Airport
AKW	Aghajari Airport	Aghajari, Iran	https://en.wikipedia.org/wiki/Aghajari_Airport
AKX	Aktobe Airport	Aktobe, Kazakhstan	https://en.wikipedia.org/wiki/Aktobe_Airport
AKY	Sittwe Airport	Sittwe, Myanmar	https://en.wikipedia.org/wiki/Sittwe_Airport
ALA	Almaty International Airport	Almaty, Kazakhstan	https://en.wikipedia.org/wiki/Almaty_International_Airport
ALB	Albany International Airport	Albany, New York, United States	https://en.wikipedia.org/wiki/Albany_International_Airport
ALC	Alicante–Elche Airport	Alicante, Valencia, Spain	https://en.wikipedia.org/wiki/Alicante%E2%80%93Elche_Airport
ALD	Alerta Airport	Alerta, Peru	https://en.wikipedia.org/wiki/Alerta_Airport
ALE	Alpine–Casparis Municipal Airport (FAA: E38)	Alpine, Texas, United States	https://en.wikipedia.org/wiki/Alpine%E2%80%93Casparis_Municipal_Airport
ALF	Alta Airport	Alta, Norway	https://en.wikipedia.org/wiki/Alta_Airport
ALG	Houari Boumediene Airport	Algiers, Algeria	https://en.wikipedia.org/wiki/Houari_Boumediene_Airport
ALH	Albany Airport	Albany, Western Australia, Australia	https://en.wikipedia.org/wiki/Albany_Airport_(Western_Australia)
ALI	Alice International Airport	Alice, Texas, United States	https://en.wikipedia.org/wiki/Alice_International_Airport
